Front	Back	Tags
"<div class=""top""><span class=""chip c1"">章节：软件工程概述</span><span class=""chip c2"">识记</span><span class=""chip c3"">软件</span></div><h1>软件的定义</h1><div class=""q"">在<span class=""blank"">______</span>领域，软件被定义为计算机系统中与硬件相互依存的另一部分，是包括程序、数据及其相关文档的完整集合。其中：程序是<span class=""blank"">______</span>特定功能的指令序列；数据是使程序能正常操纵信息的数据结构；文档是与程序开发、维护和使用有关的图文材料，包括<span class=""blank"">______</span>文档、设计文档、测试文档、维护记录等。广义上讲，软件是除设备、车辆、原材料之外的人的素质、技术水平、管理法规等无形因素。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件工程概述</span><span class=""chip c2"">识记</span><span class=""chip c3"">软件</span></div><h1>软件的定义</h1><div class=""a"">在<span class=""hit"">软件工程</span>领域，软件被定义为计算机系统中与硬件相互依存的另一部分，是包括程序、数据及其相关文档的完整集合。其中：程序是<span class=""hit"">实现</span>特定功能的指令序列；数据是使程序能正常操纵信息的数据结构；文档是与程序开发、维护和使用有关的图文材料，包括<span class=""hit"">需求分析</span>文档、设计文档、测试文档、维护记录等。广义上讲，软件是除设备、车辆、原材料之外的人的素质、技术水平、管理法规等无形因素。</div><div class=""ansbox"">挖空答案：<b>软件工程；实现；需求分析</b></div><div class=""pg"">教材页码：P21</div>"	软件工程概述 识记 软件 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件工程概述</span><span class=""chip c2"">识记</span><span class=""chip c3"">软件</span></div><h1>软件的特点</h1><div class=""q"">软件与硬件相比具有以下特点：1）软件与硬件的生产方式不同；2）软件的“<span class=""blank"">______</span>”与硬件形式不同；3）软件的开发比硬件的生产具有更多的个性化细节，需要程序员定制；4）软件比硬件具有更强的抽象性；5）软件的开发成本比硬件的制造成本更难控制；6）很多软件的<span class=""blank"">______</span>涉及机构的<span class=""blank"">______</span>、体制及管理方式、管理策略、管理细则等社会因素。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件工程概述</span><span class=""chip c2"">识记</span><span class=""chip c3"">软件</span></div><h1>软件的特点</h1><div class=""a"">软件与硬件相比具有以下特点：1）软件与硬件的生产方式不同；2）软件的“<span class=""hit"">磨损</span>”与硬件形式不同；3）软件的开发比硬件的生产具有更多的个性化细节，需要程序员定制；4）软件比硬件具有更强的抽象性；5）软件的开发成本比硬件的制造成本更难控制；6）很多软件的<span class=""hit"">功能</span>涉及机构的<span class=""hit"">组织</span>、体制及管理方式、管理策略、管理细则等社会因素。</div><div class=""ansbox"">挖空答案：<b>磨损；功能；组织</b></div><div class=""pg"">教材页码：P21</div>"	软件工程概述 识记 软件 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件工程概述</span><span class=""chip c2"">识记</span><span class=""chip c3"">软件工程</span></div><h1>软件工程的定义、软件工程的研究领域</h1><div class=""q""><span class=""blank"">______</span>：为解决<span class=""blank"">______</span>问题，计算机科学家提出的、从管理和技术两方面研究如何更好地开发和维护计算机软件的一门学科；其基本思想是按工程化的原则和方法组织软件开发。软件工程的主要研究领域包括：软件开发的过程应该依次包含哪些步骤；如何了解并描述用户对软件功能和性能等方面的需求；如何进行合理的软件设计并描述软件设计方案；如何实现软件编程以使软件具有更好的质量并更容易维护；如何进行<span class=""blank"">______</span>等。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件工程概述</span><span class=""chip c2"">识记</span><span class=""chip c3"">软件工程</span></div><h1>软件工程的定义、软件工程的研究领域</h1><div class=""a""><span class=""hit"">软件工程的定义</span>：为解决<span class=""hit"">软件危机</span>问题，计算机科学家提出的、从管理和技术两方面研究如何更好地开发和维护计算机软件的一门学科；其基本思想是按工程化的原则和方法组织软件开发。软件工程的主要研究领域包括：软件开发的过程应该依次包含哪些步骤；如何了解并描述用户对软件功能和性能等方面的需求；如何进行合理的软件设计并描述软件设计方案；如何实现软件编程以使软件具有更好的质量并更容易维护；如何进行<span class=""hit"">软件测试</span>等。</div><div class=""ansbox"">挖空答案：<b>软件工程的定义；软件危机；软件测试</b></div><div class=""pg"">教材页码：P22</div>"	软件工程概述 识记 软件工程 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件工程概述</span><span class=""chip c2"">领会</span><span class=""chip c3"">软件工程</span></div><h1>软件危机面临的问题</h1><div class=""q""><span class=""blank"">______</span>用于描述软件开发中遇到的主要问题：1）软件开发缺乏计划性；2）软件需求不够充分；3）缺乏软件开发过程的规范；4）软件开发的成本和进度难以控制；5）没有评测软件产品质量的标准和方法；6）软件难以维护。其背景是大型软件开发中出现进度不断延迟、成本难以控制、<span class=""blank"">______</span>难以保证、<span class=""blank"">______</span>非常困难等问题（如IBM操作系统开发投入几千人年、数亿美元资金）。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件工程概述</span><span class=""chip c2"">领会</span><span class=""chip c3"">软件工程</span></div><h1>软件危机面临的问题</h1><div class=""a""><span class=""hit"">软件危机</span>用于描述软件开发中遇到的主要问题：1）软件开发缺乏计划性；2）软件需求不够充分；3）缺乏软件开发过程的规范；4）软件开发的成本和进度难以控制；5）没有评测软件产品质量的标准和方法；6）软件难以维护。其背景是大型软件开发中出现进度不断延迟、成本难以控制、<span class=""hit"">软件质量</span>难以保证、<span class=""hit"">软件维护</span>非常困难等问题（如IBM操作系统开发投入几千人年、数亿美元资金）。</div><div class=""ansbox"">挖空答案：<b>软件危机；软件质量；软件维护</b></div><div class=""pg"">教材页码：P22</div>"	软件工程概述 领会 软件工程 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件工程概述</span><span class=""chip c2"">识记</span><span class=""chip c3"">软件过程</span></div><h1>软件过程的定义</h1><div class=""q""><span class=""blank"">______</span>是为了获得软件产品，在软件工具的支持下由<span class=""blank"">______</span>师遵循一定的<span class=""blank"">______</span>完成的一系列软件工程活动。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件工程概述</span><span class=""chip c2"">识记</span><span class=""chip c3"">软件过程</span></div><h1>软件过程的定义</h1><div class=""a""><span class=""hit"">软件过程</span>是为了获得软件产品，在软件工具的支持下由<span class=""hit"">软件工程</span>师遵循一定的<span class=""hit"">步骤</span>完成的一系列<span class=""hit"">软件工程</span>活动。</div><div class=""ansbox"">挖空答案：<b>软件过程；软件工程；步骤</b></div><div class=""pg"">教材页码：P23</div>"	软件工程概述 识记 软件过程 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件工程概述</span><span class=""chip c2"">识记</span><span class=""chip c3"">软件过程</span></div><h1>软件过程模型的定义</h1><div class=""q""><span class=""blank"">______</span>模型是指可以针对不同的软件采用不同的过程模型，将软件开发和维护的生命周期划分为不同的阶段，每个阶段完成确定且有限的任务。常见的软件过程模型有<span class=""blank"">______</span>（又称线性模型或传统生命周期模型）、原型模型、螺旋模型、<span class=""blank"">______</span>模型、敏捷开发模型等。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件工程概述</span><span class=""chip c2"">识记</span><span class=""chip c3"">软件过程</span></div><h1>软件过程模型的定义</h1><div class=""a""><span class=""hit"">软件过程</span>模型是指可以针对不同的软件采用不同的过程模型，将软件开发和维护的生命周期划分为不同的阶段，每个阶段完成确定且有限的任务。常见的<span class=""hit"">软件过程</span>模型有<span class=""hit"">瀑布模型</span>（又称线性模型或传统生命周期模型）、原型模型、螺旋模型、<span class=""hit"">统一过程</span>模型、敏捷开发模型等。</div><div class=""ansbox"">挖空答案：<b>软件过程；瀑布模型；统一过程</b></div><div class=""pg"">教材页码：P24</div>"	软件工程概述 识记 软件过程 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件工程概述</span><span class=""chip c2"">识记</span><span class=""chip c3"">软件过程</span></div><h1>软件过程包含的4种基本活动</h1><div class=""q""><span class=""blank"">______</span>一般包含以下4种基本活动：1）软件需求分析：完成对软件功能、行为、性能、接口等方面的需求调查、了解，并用规范的<span class=""blank"">______</span>语言描述需求，形成软件需求分析文档；2）软件设计和实现：设计并实现需求分析阶段定义的功能和性能要求；3）<span class=""blank"">______</span>：确定软件功能的正确性和性能是否符合软件需求分析文档描述的要求；4）软件演进：改进、完善软件的功能以满足用户不断变化的需求。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件工程概述</span><span class=""chip c2"">识记</span><span class=""chip c3"">软件过程</span></div><h1>软件过程包含的4种基本活动</h1><div class=""a""><span class=""hit"">软件过程</span>一般包含以下4种基本活动：1）软件需求分析：完成对软件功能、行为、性能、接口等方面的需求调查、了解，并用规范的<span class=""hit"">软件工程</span>语言描述需求，形成软件需求分析文档；2）软件设计和实现：设计并实现需求分析阶段定义的功能和性能要求；3）<span class=""hit"">软件测试</span>：确定软件功能的正确性和性能是否符合软件需求分析文档描述的要求；4）软件演进：改进、完善软件的功能以满足用户不断变化的需求。</div><div class=""ansbox"">挖空答案：<b>软件过程；软件工程；软件测试</b></div><div class=""pg"">教材页码：P23</div>"	软件工程概述 识记 软件过程 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件工程概述</span><span class=""chip c2"">识记</span><span class=""chip c3"">软件过程</span></div><h1>需求分析阶段的目标</h1><div class=""q"">软件需求分析阶段的目标是了解<span class=""blank"">______</span>需求，确定用户需要软件的程序部分完成什么<span class=""blank"">______</span>，并通过需求分析文档将用户需求清晰、规范地表达出来，形成内容完整、准确、详细的软件描述文档。需求分析的过程可分为4个阶段：<span class=""blank"">______</span>研究、分析用户需求、描述需求、需求有效性验证。该阶段是决定软件开发成败的关键阶段。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件工程概述</span><span class=""chip c2"">识记</span><span class=""chip c3"">软件过程</span></div><h1>需求分析阶段的目标</h1><div class=""a"">软件需求分析阶段的目标是了解<span class=""hit"">用户</span>需求，确定<span class=""hit"">用户</span>需要软件的程序部分完成什么<span class=""hit"">功能</span>，并通过需求分析文档将<span class=""hit"">用户</span>需求清晰、规范地表达出来，形成内容完整、准确、详细的软件描述文档。需求分析的过程可分为4个阶段：<span class=""hit"">可行性</span>研究、分析<span class=""hit"">用户</span>需求、描述需求、需求有效性验证。该阶段是决定软件开发成败的关键阶段。</div><div class=""ansbox"">挖空答案：<b>用户；功能；可行性</b></div><div class=""pg"">教材页码：P23</div>"	软件工程概述 识记 软件过程 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件工程概述</span><span class=""chip c2"">识记</span><span class=""chip c3"">软件过程</span></div><h1>软件设计阶段的目标</h1><div class=""q"">软件设计的目标是把软件需求转化为软件表示。从<span class=""blank"">______</span>和管理角度，软件设计分为概要设计和<span class=""blank"">______</span>两个阶段：概要设计阶段的工作是将软件需求转化为数据结构和软件的<span class=""blank"">______</span>；详细设计阶段的工作是通过对软件体系结构的细化，得到软件各组成部分的详细数据结构和算法。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件工程概述</span><span class=""chip c2"">识记</span><span class=""chip c3"">软件过程</span></div><h1>软件设计阶段的目标</h1><div class=""a"">软件设计的目标是把软件需求转化为软件表示。从<span class=""hit"">工作步骤</span>和管理角度，软件设计分为概要设计和<span class=""hit"">详细设计</span>两个阶段：概要设计阶段的工作是将软件需求转化为数据结构和软件的<span class=""hit"">体系结构</span>；<span class=""hit"">详细设计</span>阶段的工作是通过对软件<span class=""hit"">体系结构</span>的细化，得到软件各组成部分的详细数据结构和算法。</div><div class=""ansbox"">挖空答案：<b>工作步骤；详细设计；体系结构</b></div><div class=""pg"">教材页码：P23</div>"	软件工程概述 识记 软件过程 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件工程概述</span><span class=""chip c2"">识记</span><span class=""chip c3"">软件过程</span></div><h1>软件设计的步骤</h1><div class=""q"">从<span class=""blank"">______</span>和管理角度，软件设计分为概要设计和<span class=""blank"">______</span>两个步骤：概要设计将软件需求转化为数据结构和软件的<span class=""blank"">______</span>；详细设计通过对软件体系结构的细化，得到软件各组成部分的详细数据结构和算法。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件工程概述</span><span class=""chip c2"">识记</span><span class=""chip c3"">软件过程</span></div><h1>软件设计的步骤</h1><div class=""a"">从<span class=""hit"">工作步骤</span>和管理角度，软件设计分为概要设计和<span class=""hit"">详细设计</span>两个步骤：概要设计将软件需求转化为数据结构和软件的<span class=""hit"">体系结构</span>；<span class=""hit"">详细设计</span>通过对软件<span class=""hit"">体系结构</span>的细化，得到软件各组成部分的详细数据结构和算法。</div><div class=""ansbox"">挖空答案：<b>工作步骤；详细设计；体系结构</b></div><div class=""pg"">教材页码：P23</div>"	软件工程概述 识记 软件过程 13005软件工程
